Date,Open,High,Low,Close,Adj Close,Volume,Quarter
10/26/2018,31.68,32.880001,31.629999,32.650002,31.33901,18038600,Q1
10/29/2018,34.110001,34.299999,32.73,33.130001,31.799734,19548100,Q1
10/30/2018,33.18,33.919998,33.02,33.540001,32.193272,16287500,Q1
10/31/2018,35.970001,37.049999,35.400002,36.59,35.120804,37775200,Q1
11/1/2018,36.240002,36.689999,35.700001,36.470001,35.005627,15233200,Q1
11/2/2018,36.799999,37.279999,35.560001,36.029999,34.58329,13268200,Q1
11/5/2018,36,36.389999,35.849998,36.25,34.794456,11477100,Q1
11/6/2018,36.18,36.560001,36.09,36.459999,34.996025,11187700,Q1
11/7/2018,36.73,37,36.369999,36.880001,35.399162,9457800,Q1
11/8/2018,36.41,36.889999,36.290001,36.57,35.101608,10807900,Q1
11/9/2018,36.119999,36.439999,35.349998,35.700001,34.266541,9037500,Q1
11/12/2018,35.639999,36.040001,35.450001,35.689999,34.256943,10062100,Q1
11/13/2018,35.919998,36.650002,35.709999,35.93,34.487305,8594000,Q1
11/14/2018,36.200001,36.32,34.98,35.23,33.815411,10883400,Q1
11/15/2018,34.91,35.59,33.849998,35.549999,34.122562,17675600,Q1
11/16/2018,35.32,35.790001,35.02,35.75,34.314537,11681500,Q1
11/19/2018,35.75,35.970001,35.41,35.68,34.247349,11595800,Q1
11/20/2018,35.099998,35.619999,34.849998,35.09,33.681038,10332900,Q1
11/21/2018,35.299999,35.860001,34.970001,35.549999,34.122562,6555600,Q1
11/23/2018,35.330002,36.110001,35.200001,35.93,34.487305,4231400,Q1
11/26/2018,36.139999,38.75,36.049999,37.650002,36.138248,30361800,Q1
11/27/2018,37.27,37.549999,36.209999,36.689999,35.216789,25559100,Q1
11/28/2018,36.759998,37,35.939999,36.950001,35.466351,12439900,Q1
11/29/2018,36.790001,36.959999,36.299999,36.759998,35.283981,8251200,Q1
11/30/2018,36.740002,38,36.66,37.950001,36.426197,18108900,Q1
12/3/2018,39,39.610001,38.369999,38.450001,36.90612,17168900,Q1
12/4/2018,38.220001,38.299999,36.5,36.52,35.053616,14234700,Q1
12/6/2018,35.740002,35.75,34.91,35.700001,34.626842,14533700,Q1
12/7/2018,35.439999,35.93,34.549999,34.689999,33.647202,9236700,Q1
12/10/2018,34.549999,34.779999,33.459999,34.419998,33.385319,12320000,Q1
12/11/2018,35.549999,35.75,34.650002,34.689999,33.647202,12531800,Q1
12/12/2018,35.23,36.040001,35.23,35.68,34.607441,10324900,Q1
12/13/2018,35.959999,36.18,35.07,35.110001,34.054577,9001000,Q1
12/14/2018,35,35.700001,34.849998,35.099998,34.044876,8415300,Q1
12/17/2018,34.939999,35.619999,34.459999,34.66,33.618103,10674200,Q1
12/18/2018,35.02,35.529999,34.689999,34.900002,33.850891,8492400,Q1
12/19/2018,35.009998,36.200001,34.689999,34.93,33.87999,11882000,Q1
12/20/2018,34.93,35.349998,33.84,34.27,33.23983,14957400,Q1
12/21/2018,34.23,34.849998,32.959999,32.98,31.988609,21381100,Q1
12/24/2018,32.650002,32.939999,32.25,32.369999,31.396942,9110200,Q1
12/26/2018,32.580002,33.529999,31.459999,33.52,32.512375,12490400,Q1
12/27/2018,33.07,34,32.389999,33.959999,32.939148,13653000,Q1
12/28/2018,33.950001,34.73,33.68,33.919998,32.900349,8678000,Q1
12/31/2018,34,34.220001,32.919998,33.450001,32.444477,8455500,Q1
1/2/2019,32.849998,33.810001,32.41,33.639999,32.628765,7662300,Q1
1/3/2019,33.34,33.68,32.200001,32.25,31.280552,11618300,Q1
1/4/2019,32.799999,33.57,32.43,33.330002,32.328091,10784000,Q1
1/7/2019,33.709999,34.970001,33.48,34.360001,33.327126,10722300,Q1
1/8/2019,35,35.68,34.490002,34.810001,33.763599,10532900,Q1
1/9/2019,34.959999,35.59,34.709999,35.18,34.122475,9917600,Q1
1/10/2019,35,35.049999,34.169998,34.73,33.686005,9143700,Q1
1/11/2019,36.599998,37.970001,36.25,37.18,36.062351,32257100,Q1
1/14/2019,37.25,38,37.02,37.66,36.527924,14361100,Q1
1/15/2019,37.84,37.84,36.799999,37.549999,36.42123,11999100,Q1
1/16/2019,37.48,37.98,37.27,37.669998,36.537621,17427400,Q1
1/17/2019,37.5,38.299999,37.400002,38.259998,37.109886,13060500,Q1
1/18/2019,38.450001,38.77,37.84,38.610001,37.449371,10494100,Q1
1/22/2019,38.279999,38.779999,37.889999,38.150002,37.003197,12134400,Q1
1/23/2019,38.200001,38.360001,37.48,37.669998,36.537621,7752800,Q1
1/24/2019,37.759998,38.290001,37.66,38.16,37.01289,7809100,Q1
1/25/2019,38.650002,38.830002,38.360001,38.639999,37.478462,8842600,Q1
1/28/2019,38.23,38.599998,38.060001,38.459999,37.303875,11384400,Q1
1/29/2019,38.310001,38.540001,38.09,38.470001,37.313576,5745200,Q2
1/30/2019,38.5,39.139999,38.119999,39.09,37.914936,11033000,Q2
1/31/2019,38.810001,39.049999,38.490002,39.02,37.847042,11219300,Q2
2/1/2019,38.91,39.150002,38.52,38.779999,37.614254,8040300,Q2
2/4/2019,38.650002,38.939999,38.349998,38.93,37.759747,9960000,Q2
2/5/2019,39.080002,39.360001,38.73,39.299999,38.118626,12158000,Q2
2/6/2019,40.169998,40.740002,39.529999,39.91,38.710285,16883000,Q2
2/7/2019,39.23,39.41,38.34,38.650002,37.488167,15800700,Q2
2/8/2019,38.5,38.709999,38.009998,38.700001,37.536659,8111500,Q2
2/11/2019,38.310001,38.689999,38.220001,38.630001,37.468769,9364900,Q2
2/12/2019,38.799999,39.32,38.799999,39.029999,37.856739,9725800,Q2
